iter	Passed	Remaining
0	3	1986
1	8	2049
2	12	2107
3	16	2042
4	20	2076
5	24	2046
6	29	2060
7	33	2055
8	37	2035
9	42	2087
10	45	2040
11	49	1992
12	52	1958
13	57	1981
14	61	1988
15	65	1967
16	68	1951
17	71	1920
18	75	1898
19	78	1884
20	82	1872
21	86	1870
22	89	1865
23	93	1857
24	98	1862
25	101	1847
26	104	1831
27	107	1808
28	110	1796
29	113	1783
30	117	1772
31	120	1757
32	123	1745
33	126	1732
34	129	1716
35	132	1707
36	135	1701
37	139	1692
38	142	1686
39	145	1674
40	148	1665
41	151	1655
42	154	1646
43	157	1636
44	161	1630
45	164	1619
46	166	1607
47	169	1598
48	172	1589
49	175	1579
50	178	1570
51	181	1562
52	184	1558
53	188	1555
54	191	1550
55	194	1545
56	198	1540
57	202	1543
58	207	1548
59	210	1540
60	213	1539
61	217	1535
62	220	1528
63	223	1520
64	226	1516
65	229	1512
66	233	1506
67	236	1505
68	241	1507
69	245	1505
70	248	1499
71	252	1498
72	256	1497
73	260	1499
74	264	1498
75	267	1494
76	271	1489
77	273	1482
78	277	1477
79	281	1476
80	285	1477
81	290	1479
82	293	1472
83	296	1467
84	300	1466
85	303	1462
86	306	1456
87	309	1448
88	313	1446
89	317	1444
90	320	1442
91	324	1439
92	327	1434
93	331	1431
94	335	1428
95	338	1423
96	341	1420
97	345	1415
98	347	1409
99	351	1405
100	353	1398
101	356	1391
102	358	1382
103	361	1375
104	362	1364
105	364	1355
106	366	1346
107	368	1337
108	370	1329
109	372	1320
110	374	1312
111	376	1303
112	378	1294
113	380	1288
114	382	1281
115	384	1272
116	386	1264
117	388	1258
118	390	1250
119	392	1244
120	396	1240
121	401	1243
122	407	1247
123	412	1249
124	416	1248
125	420	1247
126	423	1244
127	428	1244
128	431	1241
129	435	1239
130	439	1238
131	444	1238
132	449	1238
133	453	1237
134	456	1235
135	460	1231
136	463	1229
137	467	1225
138	469	1219
139	471	1212
140	473	1206
141	476	1201
142	478	1194
143	480	1189
144	483	1183
145	485	1178
146	487	1171
147	490	1165
148	492	1159
149	494	1153
150	496	1147
151	498	1141
152	500	1135
153	502	1129
154	504	1123
155	506	1117
156	509	1112
157	511	1106
158	513	1100
159	515	1094
160	516	1088
161	518	1082
162	520	1076
163	522	1070
164	524	1064
165	526	1059
166	528	1053
167	530	1048
168	532	1042
169	534	1037
170	536	1032
171	538	1027
172	540	1021
173	542	1016
174	544	1011
175	546	1006
176	548	1000
177	550	995
178	552	990
179	554	985
180	556	980
181	558	975
182	560	970
183	562	965
184	564	960
185	565	955
186	567	950
187	569	945
188	571	940
189	573	935
190	575	930
191	577	925
192	579	921
193	580	916
194	582	910
195	584	906
196	586	901
197	587	896
198	589	891
199	591	887
200	593	882
201	595	878
202	597	873
203	599	869
204	601	864
205	603	860
206	605	856
207	606	851
208	608	847
209	610	842
210	612	838
211	614	835
212	617	831
213	619	827
214	621	823
215	622	818
216	624	814
217	626	810
218	629	807
219	631	803
220	633	799
221	635	795
222	637	791
223	639	787
224	641	784
225	647	784
226	649	781
227	651	777
228	654	774
229	656	770
230	659	767
231	662	765
232	665	762
233	668	759
234	671	757
235	675	755
236	679	754
237	684	753
238	688	751
239	691	749
240	695	747
241	698	744
242	702	742
243	705	739
244	708	737
245	711	734
246	714	732
247	717	729
248	721	727
249	724	724
250	728	722
251	730	719
252	734	716
253	737	714
254	740	711
255	744	709
256	747	706
257	750	704
258	754	701
259	756	698
260	759	695
261	763	693
262	766	690
263	768	687
264	772	685
265	776	683
266	779	680
267	783	677
268	786	675
269	789	672
270	793	670
271	797	668
272	801	666
273	804	663
274	808	661
275	812	659
276	816	657
